,clust,Balance,Qual_miles,cc1_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award
43,2,619393,0,3,15008,14,0,0,7819,1
44,3,121260,0,3,18493,18,0,0,7808,0
45,8,288865,967,1,23600,14,2000,4,6884,1
46,1,92336,0,2,11214,6,0,0,6884,0
47,8,36924,0,1,5900,6,300,2,6879,1
48,2,70312,0,3,34678,24,500,1,6875,1
49,1,17051,0,1,1150,4,1150,4,6868,0
50,1,108137,0,1,6368,5,6368,5,6844,0
51,1,1300,0,1,370,1,0,0,6868,0
52,2,118531,0,4,44577,38,0,0,6868,1
53,8,121395,0,1,4970,8,650,2,6889,1
54,1,38348,0,1,0,0,0,0,6861,0
55,1,14448,0,1,1625,6,0,0,6856,0
56,3,75971,0,4,34339,14,0,0,6869,0
57,8,36298,0,1,3100,5,600,3,6865,1
58,3,38077,0,3,34024,8,0,0,6837,0
59,2,95118,0,3,23188,23,2200,7,6865,1
60,3,134457,0,3,15588,14,0,0,6861,0
61,1,19918,0,1,17601,11,0,0,6863,0
62,1,10120,0,1,0,0,0,0,6864,0
63,1,362642,0,1,28079,8,0,0,6835,0
64,1,80250,0,1,895,2,0,0,6833,0
65,2,53914,0,3,33767,45,5550,29,6826,1
66,1,9375,0,1,1750,7,0,0,6826,0
67,3,83237,0,4,35287,18,0,0,6837,0
68,2,230715,0,3,24047,12,0,0,6826,1
69,2,47457,0,3,12621,16,0,0,7766,1
70,1,84409,5031,2,15436,16,1150,4,7766,0
71,3,252386,0,4,39787,13,0,0,7787,0
72,3,550367,0,3,12500,13,50,1,7801,0
73,1,12646,0,1,631,4,631,4,7787,0
74,3,123867,0,3,25308,17,0,0,7759,0
75,3,129871,0,3,15776,22,0,0,7752,0
76,1,109380,0,1,7537,16,0,0,7749,0
77,3,111157,0,4,32883,19,0,0,7771,0
78,2,49238,0,4,38037,18,0,0,7801,1
79,2,38896,0,5,76988,16,556,1,7771,1
80,8,4340,0,1,32685,5,0,0,7733,1
81,1,88443,0,1,1200,3,1200,3,6837,0
82,1,8454,0,1,498,9,0,0,6821,0
83,1,61990,0,1,1625,6,0,0,6833,0
84,1,24093,0,1,1750,7,0,0,6819,0
85,2,35418,0,5,58557,18,900,3,6813,1
86,8,40284,0,1,7719,5,0,0,6827,1
87,3,609477,0,3,21422,22,1200,8,6820,0
88,1,62553,0,2,7672,16,700,1,6819,0
89,8,48433,0,1,3500,4,500,1,6807,1
90,8,20508,0,1,22250,8,1250,5,6794,1
91,1,2000,0,1,2000,4,2000,4,6809,0
92,2,78629,0,4,36679,25,0,0,6817,1
93,8,143566,0,1,5000,5,1500,3,6785,1
94,2,185549,0,5,110859,39,2950,16,6778,1
95,1,16796,0,1,2875,16,0,0,6773,0
96,1,57346,0,1,5560,23,0,0,6766,0
97,3,102062,0,4,44247,16,0,0,6758,0
98,1,22324,0,1,1375,4,0,0,6753,0
99,2,64824,0,3,20184,13,0,0,6770,1
100,2,25076,1182,5,57203,14,0,0,6750,1
101,8,8053,0,1,0,0,0,0,6750,1
102,1,35119,0,1,0,0,0,0,6749,0
103,8,28667,0,1,3861,7,2050,5,6749,1
104,1,34327,0,1,0,0,0,0,6745,0
105,2,3734,0,5,61096,18,150,2,6760,1
106,8,96627,1182,1,49059,26,2300,9,6738,1
107,8,43498,0,1,0,0,0,0,6759,1
108,2,84674,0,4,46335,14,50,1,6738,1
109,2,15098,0,4,32917,26,550,3,6737,1
110,3,181019,0,3,18415,15,0,0,7714,0
111,8,298911,0,1,8550,11,2550,8,7714,1
112,3,124198,0,5,66330,23,4833,10,7710,0
113,8,56906,0,1,2015,13,0,0,7707,1
114,8,295638,0,1,5422,20,818,2,7700,1
115,3,67018,0,3,23260,25,0,0,7698,0
116,1,143967,0,2,7346,11,0,0,7689,0
117,8,969559,0,1,2500,3,1000,2,7718,1
118,2,122705,0,3,24222,15,0,0,7682,1
119,8,16583,0,1,2625,7,0,0,7682,1
120,1,77540,0,1,1000,1,0,0,7683,0
121,2,205126,0,5,126630,45,2250,10,7668,1
122,2,81974,0,4,37266,18,1050,3,7661,1
123,2,47258,0,3,24768,19,0,0,7659,1
124,3,77699,0,4,42775,13,0,0,7654,0
125,2,133954,500,4,37670,18,1500,3,7654,1
126,4,602064,0,5,194753,26,2250,10,7652,1
127,2,213150,0,4,56308,41,5200,14,7645,1
128,8,48333,0,2,10123,14,0,0,6737,1
129,2,142175,0,4,37461,22,0,0,6732,1
130,8,17469,0,1,0,0,0,0,6730,1
131,8,19823,0,1,1095,3,335,1,6730,1
132,8,145074,0,1,8000,4,0,0,6746,1
133,8,101101,0,1,10850,11,1850,6,6725,1
134,2,125948,0,3,15155,15,0,0,6761,1
135,8,259484,1776,1,19172,26,7172,23,6723,1
136,3,129298,0,4,29099,15,0,0,6722,0
137,2,103302,0,4,53552,22,700,3,6718,1
138,8,160447,0,1,8578,25,0,0,6716,1
139,1,15472,0,1,3500,14,0,0,6715,0
140,1,39628,0,1,0,0,0,0,6711,0
141,1,6112,0,1,0,0,0,0,6709,0
142,1,31769,0,1,450,2,450,2,6707,0
143,3,126787,0,4,35021,17,0,0,6701,0
144,3,41547,0,3,16857,17,0,0,6697,0
145,8,100640,0,1,7600,8,1600,5,6708,1
146,1,18707,0,1,100,1,0,0,6693,0
147,2,50593,0,5,58208,17,1500,2,6689,1
148,3,84631,0,3,20415,17,0,0,6736,0
149,1,24868,0,1,205,5,0,0,6689,0
150,2,77097,0,4,42403,22,1718,4,6683,1
151,4,930410,0,5,211284,18,2250,6,7640,1
152,3,298121,0,5,60808,20,500,1,7640,0
153,1,87474,0,1,4581,15,0,0,7634,0
154,2,48707,0,4,37655,14,0,0,7631,1
155,3,220081,0,4,52574,21,500,1,7626,0
156,3,212976,0,3,19926,12,0,0,7624,0
157,2,44182,0,3,12313,12,0,0,7619,1
158,2,228829,0,5,59852,21,0,0,7612,1
159,1,46823,0,1,5860,12,0,0,7613,0
160,3,69110,0,3,18500,19,0,0,7598,0
161,2,120700,0,5,55323,17,1500,1,7598,1
162,8,152945,0,1,18604,6,3604,2,7598,1
163,2,10302,0,4,30298,19,0,0,7591,1
164,2,80331,0,3,15489,18,0,0,7634,1
165,1,69882,0,1,180,6,0,0,7582,0
166,1,95658,0,1,5269,18,0,0,7584,0
167,2,402874,0,5,74800,15,0,0,7582,1
168,2,370941,0,4,44615,16,0,0,7577,1
169,2,21694,0,4,45230,20,700,2,7575,1
170,2,71767,0,5,67335,13,0,0,7570,1
171,1,35820,0,1,0,0,0,0,7575,0
172,2,352508,0,3,23740,6,1000,2,7563,1
173,8,149285,0,1,15656,13,3250,6,7561,1
174,3,120941,0,4,42301,21,0,0,7588,0
175,2,451673,0,4,43533,19,900,4,7575,1
176,8,106961,0,1,7357,19,200,2,7572,1
177,8,28086,1745,2,7368,12,0,0,7549,1
178,8,60230,0,1,500,1,0,0,7544,1
179,8,6663,0,1,1125,7,750,4,7575,1
180,1,48145,0,1,10735,27,0,0,7540,0
181,2,127807,0,3,17086,16,1500,3,7537,1
182,1,32948,0,1,50,1,50,1,7569,0
183,8,8933,0,2,8860,14,0,0,7533,1
184,3,49885,0,3,23640,17,0,0,7533,0
185,3,89999,0,3,11694,13,0,0,7530,0
186,2,707079,0,4,57173,40,3450,12,7523,1
187,1,211595,0,1,3250,8,0,0,7521,0
188,3,410795,0,5,73679,31,0,0,7514,0
189,1,72173,0,1,2954,13,232,1,7509,0
190,4,123516,0,5,240544,31,500,2,7507,1
191,2,143080,733,4,44373,38,3928,17,7575,1
192,2,386061,0,5,107813,24,0,0,7500,1
193,1,52738,2398,1,0,0,0,0,7498,0
194,8,24523,0,1,100,1,0,0,7493,1
195,1,134601,0,1,0,0,0,0,7493,0
196,2,32742,0,5,61857,26,0,0,7488,1
197,3,108341,0,3,19670,21,0,0,7488,0
198,8,8669,0,1,11397,16,0,0,7486,1
199,2,118940,0,4,36001,17,150,1,7484,1
200,2,41385,0,4,26948,14,0,0,7481,1
201,8,28621,0,2,13878,20,1400,10,7479,1
202,1,16230,0,1,486,2,0,0,7477,0
203,2,152881,0,5,79687,18,500,1,7474,1
204,1,37348,0,1,0,0,0,0,7472,0
205,1,51468,0,1,2278,9,0,0,7460,0
206,2,95989,0,5,92159,30,1329,4,7518,1
207,8,23184,1250,1,3694,12,1150,3,7467,1
208,2,27381,0,3,18009,18,0,0,7524,1
209,1,6854,0,1,0,0,0,0,7467,0
210,2,201346,0,5,99612,34,600,4,7463,1
211,1,31588,0,1,2947,8,0,0,7463,0
212,1,204582,0,1,4671,14,0,0,7498,0
213,2,8298,0,3,20087,15,0,0,7498,1
214,1,10097,0,1,2700,1,2700,1,7498,0
215,3,114356,0,4,27308,14,0,0,7456,0
216,1,1344,0,1,1134,9,0,0,7498,0
217,1,59797,0,1,7069,4,0,0,7444,0
218,2,189053,0,3,24156,22,0,0,7439,1
219,3,143481,0,4,45891,15,0,0,7437,0
220,2,1302051,2706,5,90653,32,3050,7,7467,1
221,2,229744,0,5,68754,35,550,2,7467,1
222,8,75039,0,1,2750,10,250,1,7435,1
223,1,20203,0,1,750,6,0,0,7467,0
224,3,193976,0,3,10849,14,0,0,7416,0
225,1,98224,0,2,5570,11,0,0,7467,0
226,8,117329,0,1,6448,11,0,0,7416,1
227,2,119239,0,4,36362,15,250,1,7467,1
228,1,53715,0,2,7164,15,300,2,7416,0
229,3,153747,0,5,58689,15,0,0,7409,0
230,2,133309,0,3,23987,13,0,0,7415,1
231,2,81380,0,5,56524,22,0,0,7404,1
232,1,22074,0,1,6039,15,0,0,7404,0
233,8,24051,0,2,8764,13,0,0,7395,1
234,8,11449,0,2,9057,13,0,0,7397,1
235,8,182317,0,2,19489,17,273,1,7397,1
236,1,46184,0,1,3125,12,500,1,7388,0
237,8,285116,0,1,8471,18,500,1,7406,1
238,2,30962,0,5,97683,37,6400,18,7360,1
239,1,15525,0,1,3853,6,0,0,7406,0
240,3,163530,0,5,88987,25,0,0,7406,0
241,8,2075,0,2,5002,14,0,0,7374,1
242,3,227881,0,4,41186,13,0,0,7369,0
243,3,118934,0,5,66222,37,2250,17,7354,0
244,2,468175,0,5,141615,22,0,0,7348,1
245,2,12526,0,4,56076,19,3850,11,7375,1
246,1,176090,0,1,5300,9,2200,6,7344,0
247,8,15221,0,1,4425,9,0,0,7361,1
248,2,92875,0,5,60990,14,0,0,7344,1
249,1,88702,0,2,9620,13,50,1,7406,0
250,1,62882,0,1,1925,8,0,0,7375,0
251,1,30015,0,1,5875,32,0,0,7341,0
252,3,87293,0,3,21584,17,1050,2,7406,0
253,2,45225,0,3,14711,15,0,0,7339,1
254,8,96098,0,1,12500,4,0,0,7339,1
255,3,236274,0,5,61515,12,0,0,7375,0
256,1,423540,0,1,8534,14,2100,9,7375,0
257,8,25279,0,2,14938,26,0,0,7327,1
258,1,198137,0,1,6303,6,500,1,7323,0
259,2,402312,0,5,77122,18,250,3,7375,1
260,1,149733,0,1,605,3,500,1,7323,0
261,1,70730,0,1,1319,12,0,0,7316,0
262,1,164613,0,2,11095,13,0,0,7375,0
263,1,47557,0,2,10267,18,200,3,7345,0
264,8,35065,0,1,5400,5,1400,3,7311,1
265,2,105769,0,3,23097,16,0,0,7345,1
266,1,35900,0,1,0,0,0,0,7304,0
267,1,43088,0,1,4000,1,0,0,7345,0
268,2,58703,0,4,46473,34,950,4,7296,1
269,2,70354,0,5,120907,22,0,0,7290,1
270,2,145726,0,3,19019,15,0,0,7292,1
271,2,121639,0,5,67286,7,0,0,7288,1
272,2,70676,0,5,74993,15,0,0,7288,1
273,1,18263,0,1,2100,4,1000,2,7285,0
274,1,51250,0,1,0,0,0,0,7283,0
275,8,1704838,0,1,17108,32,4823,23,7283,1
276,1,12895,0,1,0,0,0,0,7277,0
277,2,120073,0,3,12423,29,0,0,7276,1
278,1,2003,0,1,980,2,0,0,7274,0
279,2,22652,0,5,57642,14,0,0,7271,1
280,1,168515,0,1,4600,4,0,0,7269,0
281,2,44873,0,4,38740,18,850,2,7267,1
282,1,190542,1745,1,8487,9,0,0,7267,0
283,8,156230,0,1,5300,8,1300,5,7260,1
284,2,79211,0,4,36776,14,0,0,7260,1
285,2,98006,0,4,46349,20,2309,3,7332,1
286,2,33982,0,5,68320,17,0,0,7255,1
287,1,62998,0,2,11326,24,0,0,7253,0
288,2,137908,0,5,57713,19,0,0,7250,1
289,3,45586,0,4,37459,15,0,0,7246,0
290,2,568174,0,5,67121,16,1000,2,7243,1
291,2,145993,0,5,95082,17,500,1,7229,1
292,2,294881,0,5,84800,20,0,0,7279,1
293,1,12195,0,1,3875,17,0,0,7229,0
294,1,16622,0,1,0,0,0,0,7229,0
295,3,141813,0,4,39743,14,0,0,7254,0
296,2,58139,500,4,38408,16,150,1,7227,1
297,3,238868,0,3,20521,16,0,0,7220,0
298,2,149286,0,4,42141,30,2400,13,7222,1
299,1,35945,0,1,0,0,0,0,7220,0
300,8,28218,0,1,750,4,750,4,7232,1
301,1,7061,0,1,7100,12,0,0,7218,0
302,2,217846,0,4,49198,20,0,0,7215,1
303,3,364387,0,4,28200,27,0,0,7213,0
304,3,125465,0,3,14750,9,0,0,7206,0
305,2,94222,0,4,52081,24,0,0,7201,1
306,1,123370,0,1,7478,16,0,0,7197,0
307,8,383030,2998,1,8001,25,3226,15,7326,1
308,1,112969,0,2,7572,7,0,0,7192,0
309,1,46430,0,1,2100,4,500,1,7194,0
310,3,179433,0,4,30476,15,0,0,7187,0
311,2,20746,0,4,37534,17,0,0,7185,1
312,2,61455,0,4,28765,17,0,0,7183,1
313,2,714717,0,5,119162,20,1750,4,7183,1
314,2,179559,0,3,17819,12,1000,2,7173,1
315,8,119977,2556,1,9275,16,1400,4,7226,1
316,1,16928,0,1,1000,1,0,0,7173,0
317,1,65316,0,1,3917,10,0,0,7254,0
318,8,766419,0,1,11398,3,398,1,7162,1
319,8,52060,0,1,6500,3,0,0,7162,1
320,3,84700,0,3,13544,17,0,0,7162,0
321,2,205523,0,3,32404,20,1000,2,7159,1
322,2,20457,0,4,51399,16,0,0,7193,1
323,8,278727,0,1,21666,19,9166,16,7155,1
324,3,50325,0,3,11930,14,0,0,7155,0
325,8,455228,0,1,258,2,258,2,7141,1
326,1,73849,0,2,11793,21,0,0,7250,0
327,2,388455,0,5,114329,26,6078,8,7164,1
328,2,138999,0,5,63738,29,600,4,7153,1
329,1,65573,0,1,3875,23,0,0,7130,0
330,2,172288,0,5,66879,10,0,0,7130,1
331,1,47958,0,1,0,0,0,0,7130,0
332,3,133002,0,3,15672,21,150,1,7117,0
333,8,42363,0,1,0,0,0,0,7120,1
334,2,133370,0,4,44299,18,0,0,7101,1
335,7,278457,6727,4,57313,27,1000,2,7101,1
336,3,105166,1374,4,37663,22,0,0,7120,0
337,1,34956,0,1,0,0,0,0,7172,0
338,1,46963,0,1,1500,5,0,0,7117,0
339,3,55788,0,3,24831,12,0,0,7314,0
340,2,174910,0,4,63960,20,200,1,7110,1
341,8,13812,0,2,15149,39,0,0,7110,1
342,1,38718,0,1,0,0,0,0,7314,0
343,1,112501,0,1,19140,11,0,0,7101,0
344,1,54005,0,1,1500,5,0,0,7099,0
345,2,66863,0,4,36532,9,0,0,7099,1
346,3,93045,0,3,17636,15,0,0,7092,0
347,3,197328,0,5,60447,12,0,0,7092,0
348,3,151301,0,4,37772,14,0,0,7092,0
349,8,87938,0,1,11268,2,0,0,7085,1
350,1,15283,0,1,1250,3,0,0,7132,0
351,3,105423,0,3,20802,14,0,0,7078,0
352,1,312512,0,1,100,1,100,1,7078,0
353,8,13680,0,1,0,0,0,0,7073,1
354,3,41279,0,3,14462,20,1650,6,7064,0
355,1,25313,0,2,7491,13,0,0,7064,0
356,1,148691,0,1,3000,3,1000,2,7064,0
357,3,224081,0,4,40108,15,150,2,7059,0
358,1,51088,0,1,0,0,0,0,7057,0
359,1,95305,0,1,3189,13,0,0,7054,0
360,8,22080,0,1,12200,47,1950,9,7050,1
361,1,11660,0,1,140,1,0,0,7050,0
362,2,222227,0,4,38127,14,500,1,7047,1
363,1,16200,0,1,160,1,0,0,7043,0
364,1,38227,0,2,8612,13,0,0,7036,0
365,8,80214,0,1,500,1,500,1,7029,1
366,8,53985,0,1,1000,1,0,0,7029,1
367,1,14414,0,1,0,0,0,0,7024,0
368,1,44457,0,1,225,3,0,0,7026,0
369,2,161813,0,5,126941,20,0,0,7026,1
370,8,138020,0,1,6568,15,0,0,7024,1
371,3,107707,0,3,19407,25,2211,12,7024,0
372,2,95656,0,5,62666,27,0,0,7019,1
373,1,149678,0,1,0,0,0,0,7022,0
374,8,15113,0,2,10574,19,0,0,7017,1
375,8,231,0,1,29900,24,5300,15,7015,1
376,1,22380,0,1,300,2,200,1,7010,0
377,2,146263,0,3,20853,21,350,1,7001,1
378,1,24598,0,1,0,0,0,0,7040,0
379,3,76150,0,4,36907,17,0,0,6998,0
380,4,377252,0,5,230629,30,6393,13,6996,1
381,1,167670,0,1,15907,13,0,0,6994,0
382,3,86853,0,4,42293,21,500,1,6980,0
383,3,479989,0,4,66516,26,1600,6,6980,0
384,2,28193,0,5,103456,32,0,0,6980,1
385,3,67086,0,3,18157,16,0,0,6974,0
386,1,35969,0,2,11665,21,0,0,6977,0
387,2,53790,0,4,28717,19,0,0,8296,1
388,3,198859,0,3,17855,14,500,1,8296,0
389,1,91939,0,1,1244,8,0,0,8296,0
390,1,88449,0,2,11402,18,1450,5,8296,0
391,2,54842,0,3,20792,15,0,0,8296,1
392,8,11189,0,1,9044,20,0,0,8296,1
393,1,16999,0,1,140,1,0,0,8296,0
394,1,114713,0,1,7142,18,0,0,8296,0
395,1,1612,0,1,955,9,0,0,8296,0
396,1,97763,0,1,2000,9,0,0,8296,0
397,1,15129,0,1,0,0,0,0,8296,0
398,1,15669,0,1,1205,4,0,0,8296,0
399,1,26720,0,1,913,3,0,0,8296,0
400,1,205292,0,2,5471,13,0,0,8296,0
401,1,56635,0,1,1024,8,359,2,8296,0
402,1,127297,0,2,8510,12,0,0,8296,0
403,1,8927,0,1,0,0,0,0,8296,0
404,2,507506,1952,5,102279,32,4485,13,8296,1
405,2,145723,0,5,59858,16,0,0,8296,1
406,1,6458,0,1,0,0,0,0,8296,0
407,8,267640,0,1,6000,3,0,0,8296,1
408,1,5581,0,1,0,0,0,0,8296,0
409,1,10732,0,1,1296,6,0,0,8296,0
410,2,620498,0,5,25395,53,1750,14,8296,1
411,3,68963,0,4,37723,15,0,0,8296,0
412,2,109640,0,4,66983,38,5500,17,8296,1
413,2,225802,0,5,74340,16,200,2,8296,1
414,1,58452,0,1,0,0,0,0,8296,0
415,8,109087,0,2,10462,16,0,0,8296,1
416,2,68286,0,3,22831,13,0,0,8296,1
417,8,68464,0,1,240,3,0,0,8296,1
418,3,131960,2000,3,16081,8,0,0,8296,0
419,1,199956,1178,1,0,0,0,0,8296,0
420,10,529886,7210,1,23866,26,7741,15,8296,1
421,1,23529,0,1,500,1,0,0,8296,0
422,3,190295,0,4,3501,15,0,0,8296,0
423,2,21083,0,5,129330,16,1000,2,8296,1
424,2,117860,0,5,62758,15,0,0,8296,1
425,2,118844,0,4,28731,17,400,2,8289,1
426,1,60493,0,1,9000,1,0,0,8289,0
427,2,491987,0,5,68007,23,700,2,8289,1
428,1,87692,0,1,2310,6,500,1,8289,0
429,3,78028,0,4,36269,24,0,0,8289,0
430,8,251286,0,1,0,0,0,0,8289,1
431,8,17575,0,1,0,0,0,0,8289,1
432,8,50431,0,1,1000,1,0,0,8289,1
433,3,153597,0,5,56567,18,0,0,8289,0
434,8,74579,0,1,4600,11,600,8,8289,1
435,1,2494,0,1,0,0,0,0,8289,0
436,3,96031,0,4,46588,21,0,0,8289,0
437,2,353678,0,4,141230,28,1450,5,8289,1
438,2,50052,0,4,49383,13,0,0,8289,1
439,1,13381,0,1,1000,8,0,0,8289,0
440,1,25123,0,1,2030,6,0,0,8289,0
441,2,132555,0,3,24775,31,350,1,8289,1
442,1,14528,0,1,6000,7,3000,6,8289,0
443,1,24038,0,2,6290,14,0,0,8289,0
444,2,192104,0,3,39010,53,1750,8,8289,1
445,8,106773,0,1,12900,10,1400,8,8289,1
446,2,229397,0,3,22873,13,0,0,8289,1
447,1,14732,0,1,100,1,0,0,8289,0
448,3,383129,0,3,23608,16,500,1,8289,0
449,1,11431,0,1,1759,4,759,3,8289,0
450,2,175461,0,4,40997,14,0,0,8289,1
451,1,52953,0,1,500,1,0,0,8289,0
452,3,182291,0,3,24155,22,0,0,8289,0
453,2,198317,0,5,61714,16,0,0,8289,1
454,1,49053,0,1,6498,18,950,5,8289,0
455,1,22772,0,1,0,0,0,0,8289,0
456,2,34170,0,3,15476,20,150,1,8289,1
457,1,158483,0,2,9018,11,0,0,8289,0
458,2,43285,0,4,28613,14,0,0,8252,1
459,3,52980,0,3,17078,14,0,0,8237,0
460,1,74342,0,1,4389,12,0,0,8228,0
461,2,139849,0,3,19946,15,0,0,8228,1
462,8,26080,0,2,9872,13,0,0,8228,1
463,1,29469,0,1,2522,4,0,0,8228,0
464,1,189252,0,1,2991,15,0,0,8228,0
465,2,382546,0,5,136619,34,3000,6,8228,1
466,2,1113394,2015,5,60883,26,2600,9,8228,1
467,2,459681,0,5,95531,17,0,0,8228,1
468,1,83590,0,1,3708,22,0,0,8228,0
469,8,82528,0,1,2100,5,600,4,8228,1
470,1,5600,0,1,125,1,0,0,8228,0
471,8,743745,2066,1,4100,20,2500,18,8228,1
472,2,43954,0,5,63463,13,250,1,8228,1
473,3,52005,0,3,11870,15,100,1,8228,0
474,1,45494,0,1,5021,16,600,2,8228,0
475,2,171509,0,3,40090,55,6381,23,8151,1
476,1,235947,0,1,3982,16,0,0,8145,0
477,3,153108,0,4,25802,14,500,1,8137,0
478,2,260261,0,4,33047,21,0,0,8146,1
479,2,80223,0,3,21248,26,2050,7,8121,1
480,1,38716,0,2,8253,21,0,0,8114,0
481,3,1125076,0,3,23046,14,0,0,8107,0
482,8,10954,500,1,2500,1,0,0,8095,1
483,1,97099,0,1,6325,21,1700,5,8085,0
484,8,62396,2128,1,1250,3,0,0,8075,1
485,2,40645,0,3,18348,13,0,0,8067,1
486,2,82655,0,5,101101,19,700,2,8057,1
487,8,84035,0,1,4240,6,1600,4,8114,1
488,8,1199220,2919,1,3800,19,3300,18,8023,1
489,3,86345,0,3,13415,16,350,2,8009,0
490,8,2701,0,1,5000,10,0,0,8002,1
491,1,46874,0,1,9689,38,500,1,7990,0
492,2,10879,0,5,78186,32,3400,12,7981,1
493,1,12742,0,1,0,0,0,0,7966,0
494,3,122904,0,4,37380,21,1300,4,7956,0
495,1,10994,0,1,1250,3,0,0,8007,0
496,8,2318,0,2,8747,14,0,0,7945,1
497,8,11070,0,1,0,0,0,0,7939,1
498,1,21921,0,1,0,0,0,0,7939,0
499,2,162521,0,5,57354,25,0,0,8105,1
500,8,207545,0,1,11137,34,4387,12,8105,1
501,3,86112,0,4,35528,22,0,0,8105,0
502,1,18328,0,1,0,0,0,0,6790,0
503,3,217557,0,5,97584,19,550,2,6679,0
504,1,11504,0,1,100,1,0,0,6675,0
505,2,143200,0,5,79837,28,50,1,6667,1
506,3,160703,0,4,32560,12,0,0,6666,0
507,8,910,0,1,5172,13,0,0,6662,1
508,1,94105,0,1,100,1,0,0,6676,0
509,1,18422,0,1,3297,13,0,0,6653,0
510,2,889456,1024,5,98959,29,850,4,6652,1
511,8,9800,589,1,10348,34,3000,25,6651,1
512,2,148318,0,4,51197,22,350,2,6648,1
513,1,26149,0,1,5190,6,0,0,6646,0
514,3,76933,0,4,28075,17,0,0,6646,0
515,3,346178,0,5,63803,16,0,0,6645,0
516,8,22878,0,1,9039,32,0,0,6641,1
517,2,66741,2880,5,71921,30,2600,7,6638,1
518,3,134060,0,4,46606,13,0,0,6637,0
519,8,3305,0,1,31465,24,1700,10,6633,1
520,1,28930,0,1,8185,17,0,0,6630,0
521,1,208519,0,1,4040,6,450,2,6627,0
522,3,58951,0,4,47994,15,500,1,6625,0
523,1,25395,0,1,2000,1,0,0,6624,0
524,8,109248,0,1,6828,11,0,0,6618,1
525,1,43387,0,1,4942,13,0,0,6613,0
526,2,52423,0,4,26926,13,0,0,6611,1
527,2,26858,500,4,34308,17,900,3,6606,1
528,2,5410,0,4,45890,22,0,0,6603,1
529,2,18177,0,3,12040,12,0,0,6690,1
530,8,413509,0,1,2500,1,0,0,6598,1
531,2,98472,1776,5,124421,45,10250,28,6621,1
532,2,86520,3445,5,64450,20,1000,2,6592,1
533,1,16648,0,1,625,4,0,0,6588,0
534,4,267404,0,5,263685,51,3000,6,6584,1
535,2,31478,0,3,18885,18,0,0,6578,1
536,8,17445,0,1,4500,3,500,1,6576,1
537,2,49052,0,4,46718,17,0,0,6575,1
538,1,21689,0,1,0,0,0,0,6570,0
539,1,18302,0,1,2197,10,0,0,6569,0
540,1,26220,0,1,2775,11,0,0,6647,0
541,8,59552,0,1,7551,22,0,0,6473,1
542,1,34962,0,1,252,3,0,0,6208,0
543,1,16153,0,1,180,1,0,0,6491,0
544,8,28931,0,1,6500,4,500,1,6354,1
545,8,202636,0,1,19000,5,0,0,6119,1
546,2,153962,0,5,90992,21,0,0,6567,1
547,2,63311,0,4,25048,14,0,0,6634,1
548,8,8561,0,1,2050,8,1300,2,6675,1
549,2,256219,0,3,29823,33,6568,16,6561,1
550,3,122700,0,3,18604,13,0,0,6556,0
551,8,81419,0,2,7769,12,350,1,6599,1
